                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.4448,                0.62921,                0.88488,                0.96478,                 0.9204,                0.94388,                0.48372,                 1.5954,                0.68999,                0.92116,              0.0095359,              0.0095359,              0.0095359
                     77,                 1.4467,                0.64118,                 0.8773,                0.96292,                0.91654,                0.94822,                0.49362,                 1.6021,                0.68963,                0.93052,              0.0095298,              0.0095298,              0.0095298
                     78,                 1.5065,                0.65047,                0.90085,                0.95865,                 0.9204,                0.95198,                0.48258,                  1.602,                0.69191,                0.92707,              0.0095236,              0.0095236,              0.0095236
                     79,                 1.4877,                0.63915,                0.90306,                0.96367,                0.92349,                0.95139,                0.48112,                 1.5859,                0.68358,                0.92081,              0.0095174,              0.0095174,              0.0095174
                     80,                 1.4645,                 0.6173,                0.88694,                0.94233,                0.92185,                0.95112,                0.48409,                 1.6421,                0.71583,                0.93073,              0.0095112,              0.0095112,              0.0095112
                     81,                 1.4577,                0.62791,                0.87958,                0.96667,                0.91881,                0.94635,                0.47692,                 1.6042,                0.69572,                0.92281,               0.009505,               0.009505,               0.009505
                     82,                   1.44,                0.62006,                0.88303,                 0.9744,                0.92195,                0.95618,                0.50013,                 1.5785,                0.67431,                0.91957,              0.0094988,              0.0094988,              0.0094988
                     83,                 1.4567,                0.62063,                0.88627,                0.95372,                0.92369,                0.94691,                0.48407,                 1.6417,                0.71495,                0.92923,              0.0094926,              0.0094926,              0.0094926
                     84,                  1.459,                0.62965,                0.88157,                0.95692,                0.93586,                0.96131,                0.50576,                 1.5705,                0.67861,                0.91629,              0.0094864,              0.0094864,              0.0094864
                     85,                  1.395,                0.59866,                0.85659,                0.96328,                0.91963,                0.95653,                0.49538,                 1.6131,                0.69221,                0.92435,              0.0094803,              0.0094803,              0.0094803
                     86,                 1.4365,                0.61252,                0.87055,                0.95105,                0.91591,                0.94119,                0.45476,                 1.7092,                0.70625,                0.93776,              0.0094741,              0.0094741,              0.0094741
                     87,                 1.4242,                0.61372,                0.87551,                 0.9514,                 0.9229,                0.95383,                0.50202,                 1.5909,                0.68358,                0.93068,              0.0094679,              0.0094679,              0.0094679
                     88,                 1.4056,                0.60981,                0.88453,                0.96385,                0.91654,                0.94994,                0.50512,                 1.5271,                0.67957,                0.91507,              0.0094617,              0.0094617,              0.0094617
                     89,                 1.3999,                0.61014,                0.86973,                0.96659,                 0.9204,                0.94924,                0.49342,                 1.5843,                0.69055,                0.93232,              0.0094555,              0.0094555,              0.0094555
                     90,                 1.4088,                0.59997,                0.87725,                0.96314,                0.92349,                0.94236,                 0.5011,                 1.5287,                0.68232,                0.91367,              0.0094493,              0.0094493,              0.0094493
                     91,                  1.374,                0.58558,                0.87216,                0.97222,                0.91944,                0.95207,                0.49043,                 1.5677,                0.66956,                0.92339,              0.0094431,              0.0094431,              0.0094431
                     92,                 1.4017,                0.60694,                0.87559,                0.97001,                 0.9247,                0.95532,                 0.5154,                 1.5139,                0.66077,                  0.912,              0.0094369,              0.0094369,              0.0094369
                     93,                 1.3898,                0.59701,                0.88011,                0.97532,                0.92581,                0.94742,                0.50045,                 1.5408,                0.65854,                0.91952,              0.0094307,              0.0094307,              0.0094307
                     94,                 1.4055,                0.61788,                 0.8806,                0.96334,                 0.9341,                0.95655,                0.52102,                 1.5249,                0.65902,                 0.9095,              0.0094246,              0.0094246,              0.0094246
                     95,                 1.3802,                0.60897,                0.87899,                0.96443,                0.92206,                0.95554,                0.52753,                 1.4992,                 0.6505,                 0.9103,              0.0094184,              0.0094184,              0.0094184
                     96,                 1.3926,                0.60799,                0.88162,                0.95474,                0.92915,                0.95626,                0.52019,                 1.5279,                0.64893,                0.91768,              0.0094122,              0.0094122,              0.0094122
                     97,                 1.2848,                 0.5788,                0.86289,                0.97017,                0.92984,                0.96179,                0.51801,                 1.5402,                0.64553,                0.91726,               0.009406,               0.009406,               0.009406
                     98,                 1.3563,                0.58659,                  0.877,                0.96968,                0.91444,                0.95487,                0.50229,                 1.6033,                0.67103,                0.92107,              0.0093998,              0.0093998,              0.0093998
                     99,                 1.3483,                0.58366,                0.87779,                0.97234,                0.92968,                0.96165,                0.53559,                 1.4915,                0.63949,                0.90779,              0.0093936,              0.0093936,              0.0093936
                    100,                 1.3793,                0.60583,                0.87811,                0.96789,                0.93184,                0.95509,                0.50574,                 1.5206,                0.65087,                0.91236,              0.0093874,              0.0093874,              0.0093874
                    101,                  1.325,                0.56488,                0.86441,                0.96618,                0.93277,                 0.9623,                0.51559,                 1.5316,                0.63672,                0.91213,              0.0093813,              0.0093813,              0.0093813
                    102,                 1.3467,                0.59394,                0.86507,                0.95714,                0.92581,                0.95409,                0.49418,                 1.6355,                0.67387,                0.92664,              0.0093751,              0.0093751,              0.0093751
                    103,                 1.3295,                0.59379,                0.86757,                0.96132,                0.94112,                0.95974,                0.50321,                 1.5488,                0.63857,                0.91592,              0.0093689,              0.0093689,              0.0093689
                    104,                 1.3157,                0.58319,                0.87656,                0.97539,                0.91885,                0.96044,                0.53137,                 1.5029,                0.64844,                0.90914,              0.0093627,              0.0093627,              0.0093627
                    105,                  1.347,                 0.5866,                0.87574,                0.97087,                0.91577,                0.96182,                0.53605,                 1.4961,                0.64007,                0.91037,              0.0093565,              0.0093565,              0.0093565
                    106,                 1.3484,                0.58366,                 0.8729,                0.96078,                 0.9289,                 0.9612,                0.53259,                 1.4847,                 0.6299,                0.90647,              0.0093503,              0.0093503,              0.0093503
                    107,                 1.3181,                0.58496,                0.86775,                0.97141,                0.91499,                 0.9518,                0.51919,                  1.494,                0.64566,                0.91123,              0.0093441,              0.0093441,              0.0093441
                    108,                 1.3008,                0.56876,                0.88111,                0.95952,                0.92272,                0.95664,                0.53453,                 1.5133,                0.67533,                0.91027,              0.0093379,              0.0093379,              0.0093379
                    109,                 1.2966,                0.56888,                0.86573,                0.96278,                0.92272,                0.95811,                0.52603,                 1.5025,                0.63558,                0.90967,              0.0093317,              0.0093317,              0.0093317
                    110,                 1.2837,                0.55132,                0.86495,                0.96964,                0.93122,                 0.9617,                0.53132,                 1.5017,                0.63114,                 0.9067,              0.0093256,              0.0093256,              0.0093256
                    111,                 1.2715,                0.55156,                0.86363,                0.96275,                0.94204,                0.96417,                0.53494,                 1.4934,                0.62064,                0.90811,              0.0093194,              0.0093194,              0.0093194
                    112,                 1.3072,                 0.5722,                0.86615,                 0.9656,                0.93818,                0.96015,                0.53098,                 1.4654,                0.61464,                0.90383,              0.0093132,              0.0093132,              0.0093132
                    113,                 1.2779,                0.55755,                0.85037,                0.95697,                0.94533,                 0.9592,                0.53393,                  1.478,                 0.6276,                0.90305,               0.009307,               0.009307,               0.009307
                    114,                 1.2945,                0.56573,                0.86122,                0.96735,                 0.9459,                0.96292,                0.52609,                 1.5125,                0.61626,                0.91194,              0.0093008,              0.0093008,              0.0093008
                    115,                 1.2796,                0.54103,                0.85088,                0.97247,                0.93277,                0.97076,                0.53673,                 1.5108,                0.62261,                 0.9137,              0.0092946,              0.0092946,              0.0092946
                    116,                 1.2842,                0.56022,                0.86452,                 0.9686,                0.93431,                0.96292,                0.53571,                  1.461,                0.61909,                0.90717,              0.0092884,              0.0092884,              0.0092884
                    117,                 1.2842,                0.56363,                0.87024,                0.97165,                 0.9374,                0.97038,                0.55397,                 1.4673,                0.60583,                0.90804,              0.0092823,              0.0092823,              0.0092823
                    118,                 1.2571,                0.53801,                 0.8582,                0.95694,                0.93818,                0.96644,                0.56576,                 1.4322,                0.60512,                0.90107,              0.0092761,              0.0092761,              0.0092761
                    119,                 1.2208,                0.52683,                0.84944,                0.95883,                0.93972,                0.95916,                0.53584,                 1.4658,                 0.6103,                0.90734,              0.0092699,              0.0092699,              0.0092699
                    120,                  1.247,                0.53971,                0.86749,                0.96374,                0.94483,                0.96712,                0.55095,                 1.4481,                 0.6038,                0.90942,              0.0092637,              0.0092637,              0.0092637
                    121,                 1.2625,                0.55015,                 0.8564,                0.96205,                0.94281,                 0.9689,                0.55542,                 1.4372,                0.60599,                0.90376,              0.0092575,              0.0092575,              0.0092575
                    122,                 1.2159,                0.53156,                 0.8562,                0.96903,                0.93586,                0.96564,                0.54679,                 1.4547,                0.60677,                0.90972,              0.0092513,              0.0092513,              0.0092513
                    123,                 1.2193,                0.56477,                0.85685,                0.96764,                0.94513,                0.96283,                0.54249,                 1.4632,                0.60117,                0.91048,              0.0092451,              0.0092451,              0.0092451
